ID	# PATHWAYS CONTAINING	AVG. DIFF. EXP. CASES	DEGREE	IS EXCEPTION?
RNMTL1	0	0	7	false
FBXO6	0	0	1	false
NEO1	0	0	1	false
KCNJ1	0	0	4	false
KCNJ2	0	0	4	false
PIWIL1	0	0	3	false
MBL2	0	0	4	false
KCNJ3	0	0	5	false
KCNJ4	0	0	11	false
SSB	0	0	4	false
PEX19	0	0	11	false
FBXO3	0	0	2	false
FBXO2	0	0	5	false
GPKOW	0	0	1	false
PEX10	0	0	6	false
PEX12	0	0	3	false
PEX13	0	0	4	false
APM2	0	0	1	false
PEX14	0	0	7	false
PEX16	0	0	1	false
ST5	0	0	2	false
Apc	0	0	1	false
SST	0	0	1	false
ST7	0	0	6	false
FLYWCH1	0	0	1	false
BRE	0	0	29	false
APLF	0	0	1	false
SUB1	0	0	8	false
Keap1	0	0	1	false
MTCP1	0	0	3	false
MT1G	0	0	1	false
MT1H	0	0	1	false
CES1	0	0	1	false
SSNA1	0	0	1	false
MYCBP2	0	0	6	false
Rrh	0	0	1	false
IL2RG	0	0	5	false
Mtor	0	0	3	false
PEX25	0	0	2	false
PEX26	0	0	3	false
C4A	0	0	2	false
PSMB10	0	0	1	false
C4B	0	0	1	false
BSG	0	0	10	false
RACGAP1	0	0	10	false
PEG10	0	0	2	false
STK38L	0	0	2	false
ATXN7L2	0	0	1	false
ATXN7L3	0	0	8	false
Bcor	0	0	3	false
BSN	0	0	4	false
YES1	0	0	19	false
NTNG2	0	0	1	false
MSR1	0	0	1	false
XBP1	0	0	16	false
APOBEC3G	0	0	2	false
NTNG1	0	0	1	false
TNFSF15	0	0	2	false
TNFSF13	0	0	7	false
TNFSF14	18	1,00	7	false
YOL086W-A	0	0	14	false
IGF1	0	0	11	false
TFB2M	0	0	1	false
IGF2	0	0	10	false
RNF144B	0	0	6	false
CNKSR2	0	0	6	false
CNKSR1	0	0	8	false
MC1R	0	0	1	false
RNF144A	0	0	11	false
CWF19L1	0	0	1	false
NET1	0	0	4	false
GRAP	0	0	6	false
SDC1	0	0	9	false
BTK	0	0	24	false
SDC2	0	0	13	false
SPDYA	0	0	3	false
FBXL4	0	0	1	false
GRB2	0	0	207	false
FBXL3	0	0	4	false
FBXL6	0	0	1	false
FBXL5	0	0	1	false
GRB7	0	0	11	false
CES3	0	0	1	false
APOBEC3C	0	0	1	false
CETP	0	0	1	false
ZMYND19	0	0	4	false
ZBTB2	0	0	4	false
ZBTB1	0	0	5	false
ZBTB5	0	0	4	false
RCBTB2	0	0	1	false
ZBTB3	0	0	20	false
MT2A	0	0	3	false
LGALS4	0	0	2	false
APOM	0	0	2	false
LGALS3	0	0	6	false
LGALS2	0	0	1	false
LGALS1	0	0	14	false
FAM190B	0	0	7	false
TNFSF11	0	0	4	false
APOH	0	0	3	false
KCNN2	0	0	1	false
APOE	0	0	6	false
APOF	0	0	2	false
KCNN4	0	0	1	false
TNFSF10	0	0	5	false
LGALS9	0	0	3	false
LGALS8	0	0	4	false
APOD	0	0	3	false
LGALS7	0	0	4	false
APOB	0	0	21	false
