5	SHC1	pp	MAPK1
5	SHC1	pp	STAT5A
5	SHC1	pp	NGFR
5	NEDD9	pp	UBC
5	NEDD8	pp	UBC
5	NEDD8	pp	UBA3
5	ADRB2	pp	UBC
5	ADRB2	pp	KCNJ3
5	RELB	pp	UBC
5	RELB	pp	NFKB2
5	RELB	pp	NFKBIA
5	RELB	pp	BCL3
5	NUAK1	pp	UBC
5	MKNK1	pp	MAPK1
5	UBC	pp	MAPK1
5	UBC	pp	PPARGC1A
5	UBC	pp	SMURF2
5	UBC	pp	NFKB2
5	UBC	pp	NFKBIA
5	UBC	pp	FOSL1
5	UBC	pp	BCL3
5	UBC	pp	BCL2
5	UBC	pp	FGFR4
5	MAPK1	pp	STAT5A
5	MAPK1	pp	TNIP1
5	DRD2	pp	KCNJ3
5	SEC16A	pp	NFKB2
5	NFKB2	pp	BCL3
6	RB1	pp	AHR
6	RB1	pp	TGM2
6	RB1	pp	SERPINB2
6	RB1	pp	EID1
6	RB1	pp	PPARG
6	RB1	pp	TP73
6	BARHL1	pp	TLE2
6	ITGB3	pp	PXN
6	ITGB3	pp	PTK2
6	EHMT2	pp	PLOD3
6	EHMT2	pp	PRDM1
6	EHMT2	pp	HIST1H1E
6	EHMT2	pp	RELB
6	EHMT2	pp	BAT2L1
6	MAST2	pp	TRAF2
6	MAST2	pp	TRAF6
6	TNFAIP3	pp	LRRC47
6	TNFAIP3	pp	TRAF2
6	TNFAIP3	pp	TRAF6
6	TNFAIP3	pp	MCM6
6	TNFAIP3	pp	TNIP1
6	PLAT	pp	PLAU
6	MCM10	pp	MCM6
6	MCM10	pp	KRT15
6	AHR	pp	SRC
6	PRDM1	pp	TLE2
6	SHB	pp	SRC
6	TNF	pp	TRAF2
6	MYLK	pp	SRC
6	RPS6KA4	pp	FOS
6	TCHP	pp	KRT15
6	PLAU	pp	SERPINB2
6	PLAU	pp	PLAUR
6	CDH1	pp	SRC
6	CDH1	pp	NEDD9
6	CDH1	pp	CREBBP
6	CDH1	pp	CTNNB1
6	NFKBIZ	pp	NFKB2
6	Parp1	pp	RXRA
6	KPNA6	pp	RELB
6	MAP3K8	pp	TRAF2
6	MAP3K8	pp	NFKB2
6	KRT6B	pp	KRT15
6	EPHA4	pp	SRC
6	EPHA4	pp	EFNA1
6	TLE2	pp	TLX3
6	TSC22D3	pp	FOS
6	TSC22D3	pp	NFKB2
6	NCOA4	pp	PPARG
6	USP2	pp	TRAF2
6	USP2	pp	NFKB2
6	USP2	pp	KRT15
6	TRAF2	pp	TRAF6
6	TRAF2	pp	BIRC3
6	TRAF2	pp	TNFSF14
6	TRAF2	pp	TDP2
6	FOS	pp	CREBBP
6	FOS	pp	BCL3
6	PLSCR1	pp	SLPI
6	PLSCR1	pp	SRC
6	PLSCR1	pp	DTX2
6	ARC	pp	KRT15
6	MAF	pp	CREBBP
6	TRAF6	pp	IRF7
6	TRAF6	pp	SRC
6	TRAF6	pp	SOCS3
6	TRAF6	pp	IRAK2
6	TRAF6	pp	TDP2
6	PPARG	pp	ZBTB5
6	PPARG	pp	RXRA
6	PPARG	pp	PPARGC1A
6	PPARG	pp	CREBBP
6	PPARG	pp	ZBTB9
6	PPARG	pp	MAFF
6	ANAPC5	pp	CREBBP
6	IRF9	pp	TLX3
6	BIRC3	pp	XAF1
6	POM121	pp	NFKBIA
6	SRC	pp	SRF
6	SRC	pp	PXN
6	SRC	pp	ADRB2
6	SRC	pp	RXRA
6	SRC	pp	CREBBP
6	SRC	pp	CAV2
6	SRC	pp	PTK2
6	SRC	pp	CARM1
6	SRF	pp	CREBBP
6	PXN	pp	NEDD9
6	PXN	pp	PTK2
6	NEDD9	pp	PTK2
6	ADRB2	pp	KCNJ3
6	RELB	pp	NFKB2
6	RELB	pp	NFKBIA
6	RELB	pp	BCL3
6	RXRA	pp	BRD8
6	RXRA	pp	PPARGC1A
6	RXRA	pp	POU2F2
6	RXRA	pp	BCL3
6	RXRA	pp	CTNNB1
6	PTPRZ1	pp	CTNNB1
6	NKX2-1	pp	CREBBP
6	BRD8	pp	TP73
6	PPARGC1A	pp	CREBBP
6	CREBBP	pp	TRERF1
6	CREBBP	pp	CARM1
6	CREBBP	pp	CTNNB1
6	NFKB2	pp	BCL3
6	PSMC5	pp	KRT15
7	RB1	pp	TGM2
7	RB1	pp	SERPINB2
7	RB1	pp	MYOD1
7	RB1	pp	HBP1
7	ALK	pp	MYLK
7	ALK	pp	IRF7
7	GSK3B	pp	AXIN1
7	GSK3B	pp	TRAF2
7	GSK3B	pp	SMN2
7	GSK3B	pp	PPARGC1A
7	ITGB3	pp	CIB1
7	ITGB3	pp	PTK2B
7	TNFAIP3	pp	TBK1
7	TNFAIP3	pp	PPP2R1B
7	TNFAIP3	pp	TRAF2
7	TNFAIP3	pp	TRAF6
7	TNFAIP3	pp	RIPK1
7	TNFAIP3	pp	TNIP1
7	FHL3	pp	PAK7
7	FHL3	pp	ZBTB16
7	FHL3	pp	AIMP2
7	FHL3	pp	TRIP6
7	CIB1	pp	PLK3
7	PLAT	pp	PLAU
7	BMI1	pp	ZBTB16
7	TNF	pp	RALBP1
7	TNF	pp	TRAF2
7	TNF	pp	TNFRSF1B
7	IGF1R	pp	VAV3
7	IGF1R	pp	SOCS3
7	IGF1R	pp	EHD1
7	LYL1	pp	NFKBIA
7	TBK1	pp	BTRC
7	TBK1	pp	TRAF2
7	TBK1	pp	NFKB2
7	PLAU	pp	SERPINB2
7	PLAU	pp	PLAUR
7	NFKBIZ	pp	NFKB2
7	PSMD3	pp	TRAF6
7	SUMO2	pp	DAXX
7	SUMO2	pp	TRIML2
7	MAP3K8	pp	TRAF2
7	MAP3K8	pp	NFKB2
7	BTRC	pp	NFKB2
7	BTRC	pp	NFKBIA
7	IKBKE	pp	VCP
7	DLGAP5	pp	TRAF2
7	APPL1	pp	TRAF2
7	NCOA1	pp	PPARGC1A
7	NCOA1	pp	STAT5A
7	NCOA1	pp	BCL3
7	DAXX	pp	AXIN1
7	DAXX	pp	RELB
7	DAXX	pp	MX1
7	FBXW7	pp	PPARGC1A
7	FBXW7	pp	NFKB2
7	TSC22D3	pp	NFKB2
7	TRAF2	pp	TNFRSF1B
7	TRAF2	pp	TRPC4AP
7	TRAF2	pp	TRAF6
7	TRAF2	pp	BIRC3
7	TRAF2	pp	TIFA
7	TRAF2	pp	RIPK1
7	TRAF2	pp	TNFRSF14
7	TRAF2	pp	PSMF1
7	TRAF2	pp	TNFSF14
7	TRAF2	pp	ZBTB16
7	TRAF2	pp	CHMP2B
7	TRAF2	pp	TNFSF9
7	TRPC4AP	pp	RIPK1
7	PLSCR1	pp	SLPI
7	PLSCR1	pp	DTX2
7	PLSCR1	pp	RASD1
7	PLSCR1	pp	ZBTB16
7	MYOD1	pp	PPARGC1A
7	MYOD1	pp	PBX1
7	TRAF6	pp	IRF7
7	TRAF6	pp	VCP
7	TRAF6	pp	SOCS3
7	TRAF6	pp	IRAK2
7	TRAF6	pp	TIFA
7	ANAPC5	pp	ZBTB16
7	IL6ST	pp	SOCS3
7	S100A9	pp	S100A8
7	S100A9	pp	PAK7
7	BIRC3	pp	RIPK1
7	BIRC3	pp	XAF1
7	HBEGF	pp	ZBTB16
7	VCP	pp	NFKBIA
7	NEDD9	pp	MICAL1
7	NEDD9	pp	PTK2B
7	NEDD9	pp	TRIP6
7	HDAC6	pp	RELB
7	HDAC6	pp	ZBTB16
7	RELB	pp	NFKB2
7	RELB	pp	NFKBIA
7	RELB	pp	BCL3
7	SOCS3	pp	PTK2B
7	PTK2B	pp	IL7R
7	TNFRSF14	pp	TNFSF14
7	GSTM4	pp	ZBTB16
7	NFKB2	pp	BCL3
8	RB1	pp	TGM2
8	RB1	pp	SERPINB2
8	RB1	pp	TBP
8	RB1	pp	USP4
8	RB1	pp	AURKB
8	RB1	pp	GNB2L1
8	SMARCB1	pp	TP53
8	SMARCB1	pp	RELB
8	SMARCB1	pp	SMARCE1
8	EHMT2	pp	PRDM1
8	EHMT2	pp	RELB
8	EHMT2	pp	NAA10
8	TNFAIP3	pp	CASP8
8	TNFAIP3	pp	YWHAZ
8	TNFAIP3	pp	TNIP1
8	LRMP	pp	YWHAZ
8	PLAT	pp	PLAU
8	PLAT	pp	SERPINI1
8	FGF1	pp	S100A13
8	BRCA2	pp	TP53
8	BRCA2	pp	AURKB
8	BRCA2	pp	UBC
8	BRCA2	pp	STAT5A
8	BCL7A	pp	RELB
8	PLAU	pp	SERPINB2
8	PLAU	pp	PLAUR
8	NFKBIZ	pp	NFKB2
8	MAP3K8	pp	NFKB2
8	RNF150	pp	UBE2E3
8	IKBKE	pp	UBC
8	KRT6B	pp	KRT15
8	EPHA4	pp	EFNA1
8	TBP	pp	TP53
8	TBP	pp	GTF3C2
8	TBP	pp	GTF3C4
8	TBP	pp	POU2F2
8	TBP	pp	BCL3
8	UBE2E3	pp	NFKBIA
8	TSC22D3	pp	NFKB2
8	USP2	pp	BEGAIN
8	USP2	pp	UBC
8	USP2	pp	NFKB2
8	USP2	pp	KRT15
8	PLAUR	pp	EEF1A1
8	VRK2	pp	TP53
8	YWHAZ	pp	CDC25B
8	YWHAZ	pp	TP53
8	YWHAZ	pp	RAI14
8	EEF1A1	pp	CRCT1
8	EEF1A1	pp	PHYHIP
8	EEF1A1	pp	UBC
8	EEF1A1	pp	MAD2L1BP
8	IL1A	pp	S100A13
8	IL1A	pp	NDN
8	FEZ1	pp	RAI14
8	FEZ1	pp	SMARCD1
8	FEZ1	pp	P4HB
8	IRF7	pp	UBC
8	TP53	pp	S100A8
8	TP53	pp	EPHA3
8	TP53	pp	DNAJB6
8	TP53	pp	IFI16
8	TP53	pp	UBC
8	TP53	pp	NDN
8	TP53	pp	BRD8
8	TP53	pp	ZNF148
8	TP53	pp	MAD2L1BP
8	TP53	pp	NFKBIA
8	TP53	pp	MAFK
8	TP53	pp	TAG
